Column1,Column2,Column3,Tokens,
Без категории,13231842,-1,,Uncategorized
Техника/электроника,13231835,-1,,Devices and electronis
Коррекция,13231828,-1,,Correction
Страховка кредитки,13231827,-1,,Credit card insurance
ЯХЗ,13231840,-1,,Dunno
Из Excel,13231884,-1,,From the first excel
Будущий возврат,13231875,-1,,Future refund
Тяжбы по алиментам,13231892,-1,,Alimony expenses
Инвестиции,13231877,-1,,Investments
Невозвратные долги,13231878,-1,,Dead loans
Возврат,15033962,-1,,Refund
Благотворительность,16302322,-1,Wikimedia,Charity
Отпуск/Путешествия,13231819,-1,,Vacarions and trips
Жилье,13231823,13231819,"booking.com
Ibis
Premier Inn
Hostel
Revolut Stays",Accommodation
Транспорт,13231825,13231819,,Vacation transport
Самолет\поезд\автобус,13231822,13231819,"NS GROEP
Db Vertrieb
Pegasus
SUPERSAVER
Turkish Airlines
Vueling",Flight\train\bus
Аренда машины,13231820,13231819,,Car rental
Public,13231824,13231819,,Public transport during trips
Виза,13231821,13231819,,Visa
экскурсии,15992142,13231819,,Excursions
Еда,13231829,-1,,Food
Продукты,13231831,13231829,"Almere Polski Supermar
Sligro
NL21ZZZ330520730000
weernekers Ah
smullende Steven
Tanger Almere
Amazingoriental Almere
Sabores Delicatessen
Poelier Van Den Bor
Robin En Kees Agf
eksotika
Koelewijn
Westfriesland Vers
Lidl
ALBERT HEIJN
Jumbo
karsemeijer Poelie
Janssen Groente
Crowdfarming
Schuur-Koop
Spar City
Edeka
Rewe 
Rewe-
Saffraan MiniMarket
Berk Gida
Ccv*cccp Vof
DIRK VDBROEK
Vof Prins Posthumus
kwaliteitsvishande
ALDI
Flevohoning
Zabka
Kaashandel
Magnum
Supermar
Spar",Grocery
"Обеды, перекусы",13231830,13231829,"Visboer Albert
Jonico
Bubbletea
Bubble Tea
Restaurant
Ristorante
Mcdonalds
Backwerk
Cafe
Baeckerei
brauhaus
Hmshost Almere Centrum
Ah To Go
Hmshost Amsterdam Cent
Uber * Eats
Uber *Eats
Poke Perfect Almere
Mcdonald
Perekucity
Degir Men
Restoran
Doner
Ikea Amsterdam Ikea Fo","Lunch, Snack"
Образование и развитие,13231836,-1,,Education and growth
Английский,13231839,13231836,Pauline's Training Services,English
Кругозор,13231838,13231836,Amazon Downloads,Outlook
Испанский,13231837,13231836,,Spanish
Dutch,15283992,13231836,"Zuyeva Elena
Smirnova Elena
PIANOVA",Dutch
Траты на жизнь,13231858,-1,VOLMACHTKANTOOR,Life expenses
Проезд,13231863,13231858,,Public transport
"Интернет, связь",13231859,13231858,"T-MOBILE
skype","Internet, communication"
Одежда,13231860,13231858,"PRIMARK
New Yorker
Woolworth
H & M","Clothers, shoes"
Подарки,13231861,13231858,,Gifts
Отдых,13231862,13231858,,Recreation
Развлечения,13231865,13231858,"Amazon EU SARL by Stripe
Spotify
Playstation
Viaplay
Sportvisserij
Pathe Theaters",Entertainment
Такси,13231864,13231858,"Uber *trip
Uber * Pending
taxi.yandex
Takside",Taxi
Банковские услуги,15078218,13231858,ABN AMRO Bank N.V.               Basic Package,Bank services
"Дом, семья",13231866,-1,"Kruidvat
Rataplan
kringloop
Gamma
Aliexpress
Action 1386
Action 1194
Action 1203
So-Low
Praxis
Intratuin","House, Family"
Хозтовары,13231867,13231866,,Household goods
Квартплата,13231868,13231866,"VITENS NV
GBLT incasso maandelijkse
GEMEENTE ALMERE BELASTINGEN 
Vattenfall Klantenservice N.V.",Utilities
Родители,15754705,13231866,,Parents
Ремонт,15846002,13231866,,House repair
Кошка,15933835,13231866,"OnlinePets
ZOOPLUS
Pharmapets
NL21ZZZ330520730000",Miya
"Здоровье, красота",13231869,-1,"Dunya Goz Hastanesi
Rui Bandeira",Health and beauty
"Аптека, препараты",13231872,13231869,"Too Forte Pharma New
Pharmacy",Drugs
Лечение,13231870,13231869,,Treatment
Спорт,13231871,13231869,,Sport
мед страховка,15078217,13231869,"Zorgverzekeringen
Nationale-Nederlanden Zorg",Medical insurance
Коммандировачные,13231882,-1,,Business refundables 
Златке,13231888,-1,,Zlata
Алименты,13231891,13231888,,Alimony
Кредит,13231889,13231888,,Loan
Другое,13231890,13231888,,Other
Kids,,,"Ekomed
Ivf Farm
Institut Reproduktivno
Ip Baqyt
Gkp Na Phv Up Zdr Galm",Kids